intent,synonyms
greeting,"hi,hello,hey,hiya,yo,howdy,good morning,morning,gm,good afternoon,afternoon,ga"
services_info,"what services do you offer,services,offerings,service details,capabilities,overview"
pricing_info,"how much do your services cost,pricing,rates,charges,prices,fees,cost"
project_process,"project process,process,workflow,steps,phases,execution method"
contact_info,"contact,reach,connect,email,mail id,phone,reach out"
portfolio,"portfolio,work samples,case studies,projects,examples,samples"
support_request,"help,assistance,support,assist me,urgent help"
team_info,"team members,staff,experts,specialists,team details"
career_info,"hiring,vacancies,job openings,careers,jobs,roles"
thank_you,"thanks,thank you,tysm,appreciate it,gratitude"
fallback,"repeat,say again,explain,clarify,confused,dont follow"
testimonials,"testimonials,reviews,feedback,ratings,opinions"
demo_request,"demo,preview,showcase,sample,demonstration"
appointment_booking,"appointment,schedule,meeting,book slot,call"
custom_solutions,"custom,tailored,custom model,bespoke,personalized,custom work"